runtime,Origin,Destination,distance,travel_time,duration_value,travel_mode
2020-03-04 20:56:17.135522,"51.520406, -0.085969","51.46834120837843, -0.11988665668644986",7.1 km,25 mins,1503,transit
2020-03-04 20:56:17.484417,"51.520406, -0.085969","51.47371993391036, -0.15149286021037003",9.1 km,42 mins,2498,transit
2020-03-04 20:56:17.844859,"51.520406, -0.085969","51.48227755772755, -0.17863369137179197",10.8 km,46 mins,2771,transit
2020-03-04 20:56:18.238743,"51.520406, -0.085969","51.49343248090121, -0.19945955604104929",10.6 km,42 mins,2525,transit
2020-03-04 20:56:18.543248,"51.520406, -0.085969","51.50642610528426, -0.2125512268681757",10.1 km,33 mins,1973,transit
2020-03-04 20:56:18.868008,"51.520406, -0.085969","51.52037410485204, -0.21701654903210488",10.7 km,37 mins,2231,transit
2020-03-04 20:56:19.240513,"51.520406, -0.085969","51.53432637754975, -0.2125512268681757",11.5 km,36 mins,2187,transit
2020-03-04 20:56:19.625475,"51.520406, -0.085969","51.54733167634796, -0.19945955604104929",11.3 km,35 mins,2095,transit
2020-03-04 20:56:19.949797,"51.520406, -0.085969","51.55850254708598, -0.178633691371792",9.6 km,24 mins,1445,transit
2020-03-04 20:56:20.315469,"51.520406, -0.085969","51.567076118486774, -0.15149286021037006",9.8 km,48 mins,2908,transit
2020-03-04 20:56:20.705058,"51.520406, -0.085969","51.57246651847235, -0.11988665668644986",10.8 km,39 mins,2328,transit
2020-03-04 20:56:21.052021,"51.520406, -0.085969","51.57430522972021, -0.08596900000000005",7.1 km,37 mins,2241,transit
2020-03-04 20:56:21.388298,"51.520406, -0.085969","51.583288434673584, -0.085969",12.8 km,39 mins,2362,transit
2020-03-04 20:56:21.763083,"51.520406, -0.085969","51.58114285485838, -0.0463983796036032",12.0 km,44 mins,2629,transit
2020-03-04 20:56:22.120401,"51.520406, -0.085969","51.5748529169328, -0.00952446479949975",11.7 km,37 mins,2240,transit
2020-03-04 20:56:22.486655,"51.520406, -0.085969","51.564848863866516, 0.0221398343012534",11.9 km,35 mins,2100,transit
2020-03-04 20:56:22.761971,"51.520406, -0.085969","51.55181463047233, 0.046436661797080316",10.8 km,22 mins,1316,transit
2020-03-04 20:56:23.074626,"51.520406, -0.085969","51.53664064943834, 0.06171026225225671",11.9 km,40 mins,2394,transit
2020-03-04 20:56:23.429796,"51.520406, -0.085969","51.520362587166375, 0.06691979824211504",17.7 km,53 mins,3199,transit
2020-03-04 20:56:23.754050,"51.520406, -0.085969","51.50409034109343, 0.06171026225225671",13.0 km,46 mins,2785,transit
2020-03-04 20:56:24.085000,"51.520406, -0.085969","51.488932250223726, 0.04643666179708034",16.1 km,46 mins,2770,transit
2020-03-04 20:56:24.451746,"51.520406, -0.085969","51.47591972322852, 0.022139834301253415",14.8 km,45 mins,2704,transit
2020-03-04 20:56:24.824203,"51.520406, -0.085969","51.46593737659688, -0.00952446479949975",9.4 km,31 mins,1831,transit
2020-03-04 20:56:25.206145,"51.520406, -0.085969","51.459663328906935, -0.046398379603603164",11.5 km,53 mins,3205,transit
2020-03-04 20:56:25.554852,"51.520406, -0.085969","51.45752356532642, -0.08596899999999999",13.3 km,48 mins,2876,transit
2020-03-04 20:56:25.910343,"51.520406, -0.085969","51.459663328906935, -0.12553962039639682",9.4 km,31 mins,1833,transit
2020-03-04 20:56:26.546193,"51.520406, -0.085969","51.46593737659688, -0.1624135352005003",10.6 km,39 mins,2356,transit
2020-03-04 20:56:26.935519,"51.520406, -0.085969","51.47591972322852, -0.19407783430125342",13.4 km,48 mins,2906,transit
2020-03-04 20:56:27.561785,"51.520406, -0.085969","51.488932250223726, -0.21837466179708032",12.0 km,43 mins,2601,transit
2020-03-04 20:56:27.904423,"51.520406, -0.085969","51.50409034109343, -0.23364826225225674",12.3 km,40 mins,2406,transit
2020-03-04 20:56:28.236728,"51.520406, -0.085969","51.520362587166375, -0.23885779824211506",14.6 km,47 mins,2802,transit
2020-03-04 20:56:28.847476,"51.520406, -0.085969","51.53664064943834, -0.23364826225225677",12.3 km,48 mins,2889,transit
2020-03-04 20:56:29.206973,"51.520406, -0.085969","51.55181463047233, -0.21837466179708034",12.5 km,37 mins,2208,transit
2020-03-04 20:56:29.591008,"51.520406, -0.085969","51.564848863866516, -0.19407783430125344",13.3 km,41 mins,2435,transit
2020-03-04 20:56:29.883173,"51.520406, -0.085969","51.5748529169328, -0.16241353520050034",12.2 km,41 mins,2466,transit
2020-03-04 20:56:30.227783,"51.520406, -0.085969","51.58114285485838, -0.12553962039639682",12.4 km,42 mins,2513,transit
2020-03-04 20:56:30.581085,"51.520406, -0.085969","51.583288434673584, -0.08596900000000005",12.8 km,39 mins,2362,transit
2020-03-04 20:56:30.947591,"51.520406, -0.085969","51.59227163962695, -0.085969",12.7 km,47 mins,2832,transit
2020-03-04 20:56:31.286669,"51.520406, -0.085969","51.5898190719693, -0.040745406234146325",15.8 km,35 mins,2080,transit
2020-03-04 20:56:32.104674,"51.520406, -0.085969","51.582629270461624, 0.001396224785302715",12.6 km,34 mins,2068,transit
2020-03-04 20:56:32.441921,"51.520406, -0.085969","51.57119429152307, 0.037583990015706926",13.4 km,35 mins,2129,transit
2020-03-04 20:56:32.773196,"51.520406, -0.085969","51.55629625229753, 0.06535177359117367",12.8 km,30 mins,1816,transit
2020-03-04 20:56:33.096247,"51.520406, -0.085969","51.5389532659297, 0.08280729651603534",13.4 km,33 mins,1968,transit
2020-03-04 20:56:33.472898,"51.520406, -0.085969","51.52034929753344, 0.08876104331580358",19.0 km,1 hour 13 mins,4357,transit
2020-03-04 20:56:33.814945,"51.520406, -0.085969","51.50175292579683, 0.08280729651603534",17.7 km,58 mins,3493,transit
2020-03-04 20:56:34.148019,"51.520406, -0.085969","51.484430693911364, 0.0653517735911737",15.7 km,53 mins,3157,transit
2020-03-04 20:56:34.471478,"51.520406, -0.085969","51.46956100588868, 0.037583990015706926",15.3 km,53 mins,3208,transit
2020-03-04 20:56:34.836338,"51.520406, -0.085969","51.45815437821383, 0.001396224785302715",11.9 km,41 mins,2447,transit
2020-03-04 20:56:35.292023,"51.520406, -0.085969","51.450985331310214, -0.04074540623414628",10.9 km,42 mins,2542,transit
2020-03-04 20:56:35.798007,"51.520406, -0.085969","51.44854036037305, -0.08596899999999999",13.3 km,51 mins,3068,transit
2020-03-04 20:56:36.194479,"51.520406, -0.085969","51.450985331310214, -0.1311925937658537",10.1 km,34 mins,2018,transit
2020-03-04 20:56:36.529635,"51.520406, -0.085969","51.45815437821383, -0.17333422478530275",10.7 km,41 mins,2475,transit
2020-03-04 20:56:36.872561,"51.520406, -0.085969","51.46956100588868, -0.20952199001570695",14.8 km,47 mins,2847,transit
2020-03-04 20:56:37.247939,"51.520406, -0.085969","51.484430693911364, -0.23728977359117365",14.6 km,56 mins,3381,transit
2020-03-04 20:56:37.649816,"51.520406, -0.085969","51.50175292579683, -0.25474529651603534",13.7 km,53 mins,3151,transit
2020-03-04 20:56:38.008999,"51.520406, -0.085969","51.52034929753344, -0.2606990433158036",15.4 km,45 mins,2688,transit
2020-03-04 20:56:38.347646,"51.520406, -0.085969","51.5389532659297, -0.25474529651603534",15.2 km,42 mins,2519,transit
2020-03-04 20:56:38.699082,"51.520406, -0.085969","51.55629625229753, -0.23728977359117367",14.1 km,44 mins,2641,transit
2020-03-04 20:56:39.037172,"51.520406, -0.085969","51.57119429152307, -0.20952199001570698",14.1 km,39 mins,2329,transit
2020-03-04 20:56:39.372187,"51.520406, -0.085969","51.582629270461624, -0.1733342247853028",13.8 km,37 mins,2219,transit
2020-03-04 20:56:39.793306,"51.520406, -0.085969","51.5898190719693, -0.13119259376585368",12.0 km,40 mins,2410,transit
2020-03-04 20:56:40.111834,"51.520406, -0.085969","51.59227163962695, -0.08596900000000005",12.7 km,47 mins,2832,transit
2020-03-04 20:56:40.484763,"51.520406, -0.085969","51.60125484458033, -0.085969",13.9 km,47 mins,2799,transit
2020-03-04 20:56:40.822219,"51.520406, -0.085969","51.59849516972243, -0.035092421825227746",15.4 km,49 mins,2952,transit
2020-03-04 20:56:41.209107,"51.520406, -0.085969","51.59040517879685, 0.012316931049748424",15.1 km,43 mins,2598,transit
2020-03-04 20:56:41.544274,"51.520406, -0.085969","51.57753882960512, 0.05302816034157541",14.2 km,34 mins,2036,transit
2020-03-04 20:56:41.841842,"51.520406, -0.085969","51.56077654134696, 0.08426689228589161",15.4 km,39 mins,2353,transit
2020-03-04 20:56:42.150088,"51.520406, -0.085969","51.54126422671839, 0.10390432949945488",15.0 km,38 mins,2289,transit
2020-03-04 20:56:42.476416,"51.520406, -0.085969","51.52033423595513, 0.11060228366225981",18.1 km,1 hour 0 mins,3580,transit
2020-03-04 20:56:42.841725,"51.520406, -0.085969","51.49941385970207, 0.10390432949945488",18.6 km,1 hour 0 mins,3591,transit
2020-03-04 20:56:43.144349,"51.520406, -0.085969","51.479927812439534, 0.08426689228589164",17.1 km,55 mins,3294,transit
2020-03-04 20:56:43.450330,"51.520406, -0.085969","51.46320140615508, 0.05302816034157543",16.2 km,51 mins,3059,transit
2020-03-04 20:56:43.858040,"51.520406, -0.085969","51.450370939034514, 0.012316931049748424",12.1 km,34 mins,2058,transit
2020-03-04 20:56:44.178806,"51.520406, -0.085969","51.442307215669906, -0.03509242182522769",12.0 km,36 mins,2155,transit
